,TIC ID,TFOPWG Disposition
925,93594834,
926,127476180,
927,177126182,
928,148659924,FP
929,33091633,
930,425220920,
931,320536216,
932,52548453,FP
933,113553629,FP
934,207277638,
935,88684250,
936,7561203,
937,108835813,
938,259353953,
939,93963408,
940,317951248,
941,142918609,
942,341729521,
943,54390047,
944,341186896,
945,50365310,
946,88863718,
947,124709665,
948,106997505,
949,238597883,
950,169904935,
951,156115721,
952,65212867,
953,440801822,
954,107782586,
955,139853601,
956,114018671,
957,427508467,
958,97700520,
959,96246348,
960,155044736,
961,175310067,
962,182943944,
963,291555748,
964,341420329,
965,140706664,
966,143994283,
967,47384844,
968,238374636,
969,141482386,
970,297967252,
971,388624270,
972,20318757,
973,447283466,
974,374908020,
975,464296022,
976,304021498,
977,146589986,
978,149601557,
979,400595342,
980,361413119,
981,146172354,
982,363260203,
983,90544017,
984,461867584,
985,310483807,
986,385624852,
987,360286627,
988,90448944,
989,463402815,
990,54044474,FP
991,309787037,
992,370745311,
993,384549882,
994,16288184,KP
995,66818296,KP
996,259863352,
997,317060587,
998,112395568,
999,366989877,
1000,320004517,
1001,421894914,
1002,323132914,
1003,31553893,
1004,380783252,
1005,101230735,
1006,253990973,FP
1007,299799658,
1008,406976746,
1009,79748331,
1010,79748331,
1011,7088246,KP
1012,201604954,KP
1013,201642601,
1014,6663331,KP
1015,31858843,KP
1016,31858844,FP
1017,120247528,KP
1018,140830390,
1019,158297421,CP
1020,327301957,
1021,351601843,
1022,360742636,KP
1023,369960846,
1024,370133522,
1025,379240073,
1026,161032923,
1027,253728991,
1028,261108236,
1029,322270620,
1030,380589029,KP
1031,381979901,FP
1032,468148930,
1033,426077080,
1034,343648136,
1035,129319156,
1036,361034196,FP
1037,193413306,
1038,387079085,
1039,382331352,
1040,136274063,
1041,375223080,
1042,375225453,
1043,360630575,
1044,383390264,
1045,290348383,
1046,318608749,
1047,271581073,
1048,311890977,
1049,351603103,
1050,451599528,
1051,274151135,
1052,384513078,
1053,394561119,
1054,295599256,FP
1055,50309953,FP
1056,446549905,
1057,412014494,
1058,369864738,
1059,290348382,
1060,409934330,
1061,379286801,FP
1062,304100538,
1063,295541511,
1064,90919952,
1065,261369656,
1066,143257766,
1067,24094603,
1068,304774444,
1069,469782185,
1070,128790976,
1071,80166433,
1072,405862830,FP
1073,269450900,FP
1074,425721385,
1075,91576611,
1076,254113311,
1077,254113311,
1078,198213332,
1079,267489265,
1080,69997672,
1081,122220263,
1082,154872375,
1083,142276270,
1084,89389197,
1085,110428269,
1086,202563254,
1087,320525204,
1088,159510109,
1089,284450803,
1090,160268701,
1091,28230919,KP
1092,350995812,
1093,21755546,
1094,288391628,
1095,349827430,KP
1096,117789567,
1097,16740101,KP
1098,69679391,KP
1099,237184773,
1100,154840461,
1101,459970307,
1102,161450762,
1103,117256577,
1104,147576037,
1105,379931600,
1106,48188920,
1107,89510024,
1108,158324245,KP
1109,13419950,
1110,375542276,
1111,16102323,FP
1112,458478250,KP
1113,138361973,
1114,232967666,
1115,41330864,
1116,302518439,
1117,294176967,
1118,101929303,
1119,1717732429,FP
1120,232967440,
1121,154089169,
1122,30329585,
1123,230088370,
1124,169177766,FP
1125,359496368,
1126,148914726,
1127,158002130,
1128,229510866,
1129,341544930,
1130,258777137,
1131,233087860,
1132,83210867,
1133,289539327,
1134,372757221,
1135,15247229,
1136,112026224,
1137,287196418,FP
1138,237185205,
1139,158276040,
1140,89643259,
1141,147950620,
1142,24364065,
1143,69068526,
1144,92677094,
1145,203189770,KP
1146,99869022,
1147,288185138,
1148,29960110,
1149,327017634,
1150,23434737,
1151,467666275,
1152,287776397,
1153,308034948,
1154,364393429,
1155,273985865,
1156,30037565,
